"Waterbody","Pollutant","Pollutant Group","Test Fraction ","Current Categorization in 2020 IR","Impaired Use Class in 2020 IR","# Samples 1990-2021","# Detects 1990-2021","# Exceedances 1990-2021","# of Samples Within Last 10 Years (2011-2021)","# of Exceedances Within Last 10 Years (2011 - 2021)","# of Samples Within Last 5 Years (2016 - 2021)","# Samples Since Last Exceedance","Criterion (ug/L)","Range of Ratios Between Detection Limit and Criterion","Was Last Exceedance Within Current 5-year Assessment Period (2016 - 2021)?","Fish Tissue Results","Reevaluation Categorization Decision for Class D","Decision Logic Case #"
"TEXAS AVENUE TRIBUTARY","NAPHTHALENE","PAH1",NA,"4a","6","6","1","N/A - no Class D WQ criteria","6","N/A - no Class D WQ criteria","3","No exceedance","no criteria",NA,"No exceedance","NA - not sampled","Remove from Category 4a","0"
"TIDAL BASIN","NAPHTHALENE","PAH1",NA,"3","3","3","1","N/A - no Class D WQ criteria","3","N/A - no Class D WQ criteria","0","No exceedance","no criteria",NA,"No exceedance","No exceedances","Remove from Category 3","0"
"WASHINGTON SHIP CHANNEL","NAPHTHALENE","PAH1",NA,"3","7","19","0","N/A - no Class D WQ criteria","19","N/A - no Class D WQ criteria","12","No exceedance","no criteria",NA,"No exceedance","No exceedances","Remove from Category 3","0"
"WATTS BRANCH LOWER","NAPHTHALENE","PAH1",NA,"3","3","3","1","N/A - no Class D WQ criteria","3","N/A - no Class D WQ criteria","0","No exceedance","no criteria",NA,"No exceedance","NA - not sampled","Remove from Category 3","0"
"WATTS BRANCH UPPER","NAPHTHALENE","PAH1",NA,"3","13","13","0","N/A - no Class D WQ criteria","13","N/A - no Class D WQ criteria","13","No exceedance","no criteria",NA,"No exceedance","NA - not sampled","Remove from Category 3","0"
"BATTERY KEMBLE CREEK","NAPHTHALENE","PAH1",NA,"Not Listed","0","0","0","N/A - no Class D WQ criteria","0","N/A - no Class D WQ criteria","0","No exceedance","no criteria",NA,"No exceedance","NA - not sampled","Not listed - take no action","0"
"C&O CANAL","NAPHTHALENE","PAH1",NA,"Not Listed","0","0","0","N/A - no Class D WQ criteria","0","N/A - no Class D WQ criteria","0","No exceedance","no criteria",NA,"No exceedance","NA - not sampled","Not listed - take no action","0"
"FORT CHAPLIN TRIBUTARY","NAPHTHALENE","PAH1",NA,"Not Listed","0","0","0","N/A - no Class D WQ criteria","0","N/A - no Class D WQ criteria","0","No exceedance","no criteria",NA,"No exceedance","NA - not sampled","Not listed - take no action","0"
"FORT DAVIS TRIBUTARY","NAPHTHALENE","PAH1",NA,"Not Listed","0","0","0","N/A - no Class D WQ criteria","0","N/A - no Class D WQ criteria","0","No exceedance","no criteria",NA,"No exceedance","NA - not sampled","Not listed - take no action","0"
"FOUNDRY BRANCH","NAPHTHALENE","PAH1",NA,"Not Listed","0","0","0","N/A - no Class D WQ criteria","0","N/A - no Class D WQ criteria","0","No exceedance","no criteria",NA,"No exceedance","NA - not sampled","Not listed - take no action","0"
"ANACOSTIA LOWER","PCB_TOTAL","PCB_TOTAL",NA,"4a","13","41","41","41","41","41","29","0","6.4e-05",NA,"Yes","Exceedances in fish tissue","Keep in Category 4a","1"
"ANACOSTIA UPPER","PCB_TOTAL","PCB_TOTAL",NA,"4a","8","30","30","30","30","30","18","0","6.4e-05",NA,"Yes","Exceedances in fish tissue","Keep in Category 4a","1"
"BROAD BRANCH","PCB_TOTAL","PCB_TOTAL",NA,"4a","6","6","6","6","6","6","5","0","6.4e-05",NA,"Yes","NA - not sampled","Keep in Category 4a","1"
"DALECARLIA TRIBUTARY","PCB_TOTAL","PCB_TOTAL",NA,"4a","1","1","1","1","1","1","0","0","6.4e-05",NA,"No","NA - not sampled","Keep in Category 4a","4"
"DUMBARTON OAKS","PCB_TOTAL","PCB_TOTAL",NA,"4a","6","7","7","7","7","7","5","0","6.4e-05",NA,"Yes","NA - not sampled","Keep in Category 4a","1"
"FENWICK BRANCH","PCB_TOTAL","PCB_TOTAL",NA,"4a","1","1","1","1","1","1","0","0","6.4e-05",NA,"No","NA - not sampled","Keep in Category 4a","4"
"FORT DUPONT TRIBUTARY","PCB_TOTAL","PCB_TOTAL",NA,"Not Listed","5","5","5","5","5","5","5","0","6.4e-05",NA,"Yes","NA - not sampled","Move to Category 5","14"
"FORT STANTON TRIBUTARY","PCB_TOTAL","PCB_TOTAL",NA,"4a","8","9","9","9","9","9","5","0","6.4e-05",NA,"Yes","NA - not sampled","Keep in Category 4a","1"
"HICKEY RUN","PCB_TOTAL","PCB_TOTAL",NA,"4a","3","3","3","3","3","3","0","0","6.4e-05",NA,"No","NA - not sampled","Keep in Category 4a","1"
"KINGMAN LAKE","PCB_TOTAL","PCB_TOTAL",NA,"4a","7","18","18","18","18","18","12","0","6.4e-05",NA,"Yes","Exceedances in fish tissue","Keep in Category 4a","1"
"KLINGLE VALLEY","PCB_TOTAL","PCB_TOTAL",NA,"4a","1","1","1","1","1","1","0","0","6.4e-05",NA,"No","NA - not sampled","Keep in Category 4a","4"
"LUZON BRANCH","PCB_TOTAL","PCB_TOTAL",NA,"4a","1","1","1","1","1","1","0","0","6.4e-05",NA,"No","NA - not sampled","Keep in Category 4a","4"
"MELVIN HAZEN VALLEY BRANCH","PCB_TOTAL","PCB_TOTAL",NA,"4a","6","6","6","6","6","6","5","0","6.4e-05",NA,"Yes","NA - not sampled","Keep in Category 4a","1"
"NASH RUN","PCB_TOTAL","PCB_TOTAL",NA,"4a","3","4","4","4","4","4","0","0","6.4e-05",NA,"No","NA - not sampled","Keep in Category 4a","1"
"NORMANSTONE CREEK","PCB_TOTAL","PCB_TOTAL",NA,"4a","1","1","1","1","1","1","0","0","6.4e-05",NA,"No","NA - not sampled","Keep in Category 4a","4"
"OXON RUN","PCB_TOTAL","PCB_TOTAL",NA,"4a","0","0","0","0","0","0","0","No exceedance","6.4e-05",NA,"No exceedance","NA - not sampled","Move to Category 3","2"
"PINEHURST BRANCH","PCB_TOTAL","PCB_TOTAL",NA,"4a","1","1","1","1","1","1","0","0","6.4e-05",NA,"No","NA - not sampled","Keep in Category 4a","4"
"PINEY BRANCH","PCB_TOTAL","PCB_TOTAL",NA,"4a","1","1","1","1","1","1","0","0","6.4e-05",NA,"No","NA - not sampled","Keep in Category 4a","4"
"POPE BRANCH","PCB_TOTAL","PCB_TOTAL",NA,"4a","3","3","3","3","3","3","0","0","6.4e-05",NA,"No","NA - not sampled","Keep in Category 4a","1"
"PORTAL BRANCH","PCB_TOTAL","PCB_TOTAL",NA,"4a","1","2","2","2","2","2","0","0","6.4e-05",NA,"No","NA - not sampled","Keep in Category 4a","1"
"POTOMAC LOWER","PCB_TOTAL","PCB_TOTAL",NA,"4a","5","5","5","5","5","5","5","0","6.4e-05",NA,"Yes","Exceedances in fish tissue","Keep in Category 4a","1"
"POTOMAC MIDDLE","PCB_TOTAL","PCB_TOTAL",NA,"4a","5","5","5","5","5","5","5","0","6.4e-05",NA,"Yes","Exceedances in fish tissue","Keep in Category 4a","1"
"POTOMAC UPPER","PCB_TOTAL","PCB_TOTAL",NA,"4a","5","5","5","5","5","5","5","0","6.4e-05",NA,"Yes","Exceedances in fish tissue","Keep in Category 4a","1"
"ROCK CREEK LOWER","PCB_TOTAL","PCB_TOTAL",NA,"Not Listed","5","5","5","5","5","5","5","0","6.4e-05",NA,"Yes","NA - not sampled","Move to Category 5","14"
"ROCK CREEK UPPER","PCB_TOTAL","PCB_TOTAL",NA,"4a","0","0","0","0","0","0","0","No exceedance","6.4e-05",NA,"No exceedance","NA - not sampled","Move to Category 3","2"
"SOAPSTONE CREEK","PCB_TOTAL","PCB_TOTAL",NA,"4a","1","1","1","1","1","1","0","0","6.4e-05",NA,"No","NA - not sampled","Keep in Category 4a","4"
"TEXAS AVENUE TRIBUTARY","PCB_TOTAL","PCB_TOTAL",NA,"4a","3","3","3","3","3","3","0","0","6.4e-05",NA,"No","NA - not sampled","Keep in Category 4a","1"
"TIDAL BASIN","PCB_TOTAL","PCB_TOTAL",NA,"4a","0","0","0","0","0","0","0","No exceedance","6.4e-05",NA,"No exceedance","Exceedances in fish tissue","Move to Category 3","2"
"WASHINGTON SHIP CHANNEL","PCB_TOTAL","PCB_TOTAL",NA,"4a","4","16","16","16","16","16","12","0","6.4e-05",NA,"Yes","Exceedances in fish tissue","Keep in Category 4a","1"
"WATTS BRANCH LOWER","PCB_TOTAL","PCB_TOTAL",NA,"4a","3","3","3","3","3","3","0","0","6.4e-05",NA,"No","NA - not sampled","Keep in Category 4a","1"
"WATTS BRANCH UPPER","PCB_TOTAL","PCB_TOTAL",NA,"4a","5","5","5","5","5","5","5","0","6.4e-05",NA,"Yes","NA - not sampled","Keep in Category 4a","1"
"BATTERY KEMBLE CREEK","PCB_TOTAL","PCB_TOTAL",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","6.4e-05",NA,"No exceedance","NA - not sampled","Not listed - take no action","15"
"C&O CANAL","PCB_TOTAL","PCB_TOTAL",NA,"4a","0","0","0","0","0","0","0","No exceedance","6.4e-05",NA,"No exceedance","NA - not sampled","Move to Category 3","2"
"FORT CHAPLIN TRIBUTARY","PCB_TOTAL","PCB_TOTAL",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","6.4e-05",NA,"No exceedance","NA - not sampled","Not listed - take no action","15"
"FORT DAVIS TRIBUTARY","PCB_TOTAL","PCB_TOTAL",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","6.4e-05",NA,"No exceedance","NA - not sampled","Not listed - take no action","15"
"FOUNDRY BRANCH","PCB_TOTAL","PCB_TOTAL",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","6.4e-05",NA,"No exceedance","NA - not sampled","Not listed - take no action","15"
"ANACOSTIA LOWER","PYRENE","PAH2",NA,"4a","24","52","14","0","52","0","40","No exceedance","30","0.0005 - 0.00667","No exceedance","No exceedances","Remove from Category 4a","3"
"ANACOSTIA UPPER","PYRENE","PAH2",NA,"4a","14","56","30","0","56","0","37","No exceedance","30","0.0005 - 0.00667","No exceedance","No exceedances","Remove from Category 4a","3"
"BROAD BRANCH","PYRENE","PAH2",NA,"Not Listed","15","15","0","0","14","0","13","No exceedance","30","0.0005 - 0.00667","No exceedance","NA - not sampled","Not listed - take no action","15"
"DALECARLIA TRIBUTARY","PYRENE","PAH2",NA,"3","1","1","0","0","1","0","0","No exceedance","30","0.0005 - 0.00667","No exceedance","NA - not sampled","Remove from Category 3","8"
"DUMBARTON OAKS","PYRENE","PAH2",NA,"3","15","16","1","0","15","0","13","No exceedance","30","0.0005 - 0.00667","No exceedance","NA - not sampled","Remove from Category 3","10"
"FENWICK BRANCH","PYRENE","PAH2",NA,"3","2","2","1","0","1","0","0","No exceedance","30","0.0005 - 0.00667","No exceedance","NA - not sampled","Remove from Category 3","8"
"FORT DUPONT TRIBUTARY","PYRENE","PAH2",NA,"Not Listed","13","13","0","0","13","0","13","No exceedance","30","0.0005 - 0.00667","No exceedance","NA - not sampled","Not listed - take no action","15"
"FORT STANTON TRIBUTARY","PYRENE","PAH2",NA,"4a","19","20","2","0","20","0","16","No exceedance","30","0.0005 - 0.00667","No exceedance","NA - not sampled","Remove from Category 4a","3"
"HICKEY RUN","PYRENE","PAH2",NA,"4a","5","6","2","0","6","0","3","No exceedance","30","0.0005 - 0.00667","No exceedance","NA - not sampled","Remove from Category 4a","3"
"KINGMAN LAKE","PYRENE","PAH2",NA,"4a","13","25","14","0","25","0","15","No exceedance","30","0.0005 - 0.00667","No exceedance","No exceedances","Remove from Category 4a","3"
"KLINGLE VALLEY","PYRENE","PAH2",NA,"3","1","1","0","0","1","0","0","No exceedance","30","0.0005 - 0.00667","No exceedance","NA - not sampled","Remove from Category 3","8"
"LUZON BRANCH","PYRENE","PAH2",NA,"3","2","3","1","0","1","0","0","No exceedance","30","0.0005 - 0.00667","No exceedance","NA - not sampled","Remove from Category 3","8"
"MELVIN HAZEN VALLEY BRANCH","PYRENE","PAH2",NA,"3","14","14","0","0","14","0","13","No exceedance","30","0.0005 - 0.00667","No exceedance","NA - not sampled","Remove from Category 3","10"
"NASH RUN","PYRENE","PAH2",NA,"4a","6","7","4","0","7","0","3","No exceedance","30","0.0005 - 0.00667","No exceedance","NA - not sampled","Remove from Category 4a","3"
"NORMANSTONE CREEK","PYRENE","PAH2",NA,"Not Listed","2","2","0","0","1","0","0","No exceedance","30","0.0005 - 0.00667","No exceedance","NA - not sampled","Not listed - take no action","15"
"OXON RUN","PYRENE","PAH2",NA,"3","1","1","0","0","1","0","0","No exceedance","30","0.0005 - 0.00667","No exceedance","NA - not sampled","Remove from Category 3","8"
"PINEHURST BRANCH","PYRENE","PAH2",NA,"3","2","4","0","0","1","0","0","No exceedance","30","0.0005 - 0.00667","No exceedance","NA - not sampled","Remove from Category 3","8"
"PINEY BRANCH","PYRENE","PAH2",NA,"3","2","3","0","0","1","0","0","No exceedance","30","0.0005 - 0.00667","No exceedance","NA - not sampled","Remove from Category 3","8"
"POPE BRANCH","PYRENE","PAH2",NA,"4a","6","7","0","0","7","0","4","No exceedance","30","0.0005 - 0.00667","No exceedance","NA - not sampled","Remove from Category 4a","3"
"PORTAL BRANCH","PYRENE","PAH2",NA,"3","1","2","0","0","2","0","0","No exceedance","30","0.0005 - 0.00667","No exceedance","NA - not sampled","Remove from Category 3","8"
"POTOMAC LOWER","PYRENE","PAH2",NA,"Not Listed","13","13","0","0","13","0","13","No exceedance","30","0.0005 - 0.00667","No exceedance","No exceedances","Not listed - take no action","15"
"POTOMAC MIDDLE","PYRENE","PAH2",NA,"Not Listed","13","13","0","0","13","0","13","No exceedance","30","0.0005 - 0.00667","No exceedance","No exceedances","Not listed - take no action","15"
"POTOMAC UPPER","PYRENE","PAH2",NA,"Not Listed","13","13","0","0","13","0","13","No exceedance","30","0.0005 - 0.00667","No exceedance","No exceedances","Not listed - take no action","15"
"ROCK CREEK LOWER","PYRENE","PAH2",NA,"Not Listed","14","21","5","0","13","0","13","No exceedance","30","0.0005 - 0.00667","No exceedance","NA - not sampled","Not listed - take no action","15"
"ROCK CREEK UPPER","PYRENE","PAH2",NA,"Not Listed","6","23","18","0","0","0","0","No exceedance","30","0.0005 - 0.00667","No exceedance","NA - not sampled","Not listed - take no action","15"
"SOAPSTONE CREEK","PYRENE","PAH2",NA,"3","2","2","0","0","1","0","0","No exceedance","30","0.0005 - 0.00667","No exceedance","NA - not sampled","Remove from Category 3","8"
"TEXAS AVENUE TRIBUTARY","PYRENE","PAH2",NA,"4a","6","6","1","0","6","0","3","No exceedance","30","0.0005 - 0.00667","No exceedance","NA - not sampled","Remove from Category 4a","3"
"TIDAL BASIN","PYRENE","PAH2",NA,"3","3","3","0","0","3","0","0","No exceedance","30","0.0005 - 0.00667","No exceedance","No exceedances","Remove from Category 3","8"
"WASHINGTON SHIP CHANNEL","PYRENE","PAH2",NA,"3","7","19","3","0","19","0","12","No exceedance","30","0.0005 - 0.00667","No exceedance","No exceedances","Remove from Category 3","10"
"WATTS BRANCH LOWER","PYRENE","PAH2",NA,"3","3","3","0","0","3","0","0","No exceedance","30","0.0005 - 0.00667","No exceedance","NA - not sampled","Remove from Category 3","8"
"WATTS BRANCH UPPER","PYRENE","PAH2",NA,"3","13","13","0","0","13","0","13","No exceedance","30","0.0005 - 0.00667","No exceedance","NA - not sampled","Remove from Category 3","10"
"BATTERY KEMBLE CREEK","PYRENE","PAH2",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","30","0.0005 - 0.00667","No exceedance","NA - not sampled","Not listed - take no action","15"
"C&O CANAL","PYRENE","PAH2",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","30","0.0005 - 0.00667","No exceedance","NA - not sampled","Not listed - take no action","15"
"FORT CHAPLIN TRIBUTARY","PYRENE","PAH2",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","30","0.0005 - 0.00667","No exceedance","NA - not sampled","Not listed - take no action","15"
"FORT DAVIS TRIBUTARY","PYRENE","PAH2",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","30","0.0005 - 0.00667","No exceedance","NA - not sampled","Not listed - take no action","15"
"FOUNDRY BRANCH","PYRENE","PAH2",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","30","0.0005 - 0.00667","No exceedance","NA - not sampled","Not listed - take no action","15"
